Artikelbezeichnung;Artikelbeschreibung;Angebotsnummer;Händler-SKU;Preis;Menge;Erstellungsdatum;image-url;Artikel ist Marketplace-Angebot;Produkt-ID-Typ;zshop-shipping-fee;Anmerkung zum Artikel;Artikelzustand;zshop-category1;zshop-browse-path;zshop-storefront-feature;ASIN 1;asin2;asin3;Internationaler Versand;Expressversand;zshop-boldface;Produkt-ID;bid-for-featured-placement;hinzufügen-löschen;Anzahl Bestellungen;Versender;Händlerversandgruppe;Status;Mindestbestellmenge;Restposten verkaufen
CaPiSo 10m Premium-Satinband 50mm nachhaltig umweltgerecht Schleifenband Geschenkband Dekoband Dekorationsband Weihnachten Hochzeit (Creme Neu);Satin 10m in 50mm Breite;0128U3T3Q3E;10 Meter 5 cm creme 52;5.99;;28/01/2018 15:20:17 MET;;y;1;;;11;;;;B079D88PBH;;;;;;B079D88PBH;;;;AMAZON_EU;Standardvorlage Amazon;Active;;false
CaPiSo 10m Premium-Satinband 50mm nachhaltig umweltgerecht Schleifenband Geschenkband Dekoband Dekorationsband Weihnachten Hochzeit (Maigrün Old);Satin 10m in 50mm Breite;0128U3QQ4JK;10 Meter 5 cm maigruen 94;6.99;;28/01/2018 14:35:36 MET;;y;1;;;11;;;;B079D8TYPV;;;;;;B079D8TYPV;;;;AMAZON_EU;Standardvorlage Amazon;Active;;false
CaPiSo 10m Satin-Schleifenband 50mm Breit 5cm Strängchen Geschenkband,Dekoband,Weihnachten;;0128U3TX1HK;10 Meter 5 cm schwarz 170;6.99;;28/01/2018 15:41:21 MET;;y;1;;;11;;;;B079D94JTY;;;;;;B079D94JTY;;;;AMAZON_EU;Standardvorlage Amazon;Active;;false
CaPiSo 10m Premium-Satinband 50mm Schleifenband Geschenkband Dekoband Dekorationsband Weihnachten Hochzeit;;0128U3QGZOE;10 Meter 5 cm weiss 01;6.99;;28/01/2018 14:33:50 MET;;y;1;;;11;;;;B079D972T7;;;;;;B079D972T7;;;;AMAZON_EU;Standardvorlage Amazon;Active;;false
CaPiSo Trauer BZW. Kondolenz Schleifen, um Beileidsbekundung zu Zeigen (10 Stück);;0916SA0TDX2;10 Stück Trauerschleifen;9.99;;16/09/2017 07:57:43 MEST;;y;1;;;11;;;;B075P1QLXS;;;;;;B075P1QLXS;;;;AMAZON_EU;Standardvorlage Amazon;Active;;false
CaPiSo 10m Trendyband Rosen Organza Trendy Schleifenband mit Rosen und Perlen Deko Hochzeit Dekoband (Altrosa);;0910XWGSQCT;10 m Trendyband Rosen 20 Altrosa;10.99;;10/09/2020 07:19:02 MEST;;y;1;;;11;;;;B08HRV23LX;;;;;;B08HRV23LX;;;;AMAZON_EU;Standardvorlage Amazon;Active;;false
CaPiSo 10m Trendyband Rosen Organza Trendy Schleifenband mit Rosen und Perlen Deko Hochzeit Dekoband (Dunkelgrün);;0912YPC6DGD;10 m Trendyband Rosen 20 Dunkelgrün;10.99;;12/09/2021 06:41:43 MEST;;y;1;;;11;;;;B08HRQN8BP;;;;;;B08HRQN8BP;;;;AMAZON_EU;Standardvorlage Amazon;Active;;false
CaPiSo 10m Trendyband Rosen Organza Trendy Schleifenband mit Rosen und Perlen Deko Hochzeit Dekoband (Flieder);;0910XW9ND3Y;10 m Trendyband Rosen 20 Flieder;10.99;;10/09/2020 07:06:40 MEST;;y;1;;;11;;;;B08HRPT6KB;;;;;;B08HRPT6KB;;;;AMAZON_EU;Standardvorlage Amazon;Active;;false
CaPiSo 10m Trendyband Rosen Organza Trendy Schleifenband mit Rosen und Perlen Deko Hochzeit Dekoband (Fuchsia);;0910XW82USL;10 m Trendyband Rosen 20 Fuchsia;10.99;;10/09/2020 07:16:19 MEST;;y;1;;;11;;;;B08HRPVMMS;;;;;;B08HRPVMMS;;;;AMAZON_EU;Standardvorlage Amazon;Active;;false
CaPiSo 10m Trendyband Rosen Organza Trendy Schleifenband mit Rosen und Perlen Deko Hochzeit Dekoband (Gelb);;0910XWL3FAD;10 m Trendyband Rosen 20 Gelb;10.99;;10/09/2020 07:12:37 MEST;;y;1;;;11;;;;B08HRVRLHW;;;;;;B08HRVRLHW;;;;AMAZON_EU;Standardvorlage Amazon;Active;;false
CaPiSo 10m Trendyband Rosen Organza Trendy Schleifenband mit Rosen und Perlen Deko Hochzeit Dekoband (Gold-Gelb);;0910XWFUA9S;10 m Trendyband Rosen 20 Gold-Gelb;10.99;;10/09/2020 07:05:17 MEST;;y;1;;;11;;;;B08HRW2BSJ;;;;;;B08HRW2BSJ;;;;AMAZON_EU;Standardvorlage Amazon;Active;;false
